Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Output voltage exceeded drive compliance limit.,3879613080.958,2.00019335746765,89965.8515625,289.48,0.307,,,,,,,,,,,,,,,,,,,,,0.007509977,1.613117E-06,0.07923269,,,12.20703,2.29376,10,0,7.509892E-05,7.509885E-05,1.038521E-07,,,,,,30000,-36.48445,-70.39756,419806592,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded drive compliance limit.,3879613089.22534,1.99886202812195,88342.671875,289.48,0.307,,,,,,,,,,,,,,,,,,,,,0.007453907,6.987842E-06,0.08134384,,,12.20703,2.29376,10,0,7.453823E-05,7.453815E-05,1.058232E-07,,,,,,30000,-36.67101,-88.3037,419806592,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded drive compliance limit.,3879613093.43334,2.00013780593872,87503.40625,289.48,0.307,,,,,,,,,,,,,,,,,,,,,0.007412873,6.004996E-06,0.08362124,,,12.20703,2.29376,10,0,7.412791E-05,7.412783E-05,1.081871E-07,,,,,,30000,-36.7853,-68.74393,419806592,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded drive compliance limit.,3879613097.73218,2.00004553794861,86644.375,289.48,0.307,,,,,,,,,,,,,,,,,,,,,0.007373008,6.181924E-06,0.08578157,,,12.20703,2.29376,10,0,7.372926E-05,7.372918E-05,1.103853E-07,,,,,,30000,-36.83177,-64.05504,419806592,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded drive compliance limit.,3879613102.12134,2.00000214576721,85765.1171875,289.48,0.307,,,,,,,,,,,,,,,,,,,,,0.007330704,6.820356E-06,0.08645124,,,12.20703,2.29376,10,0,7.330622E-05,7.330614E-05,1.106087E-07,,,,,,30000,-36.79252,-60.99887,419806592,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded drive compliance limit.,3879613106.32691,1.9999852180481,84925.9765625,289.48,0.307,,,,,,,,,,,,,,,,,,,,,0.007279444,8.090905E-06,0.08765792,,,12.20703,2.29376,10,0,7.279364E-05,7.279355E-05,1.113684E-07,,,,,,30000,-36.67401,-60.48012,419806592,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded drive compliance limit.,3879613110.63582,1.99994623661041,84066.6953125,289.48,0.307,,,,,,,,,,,,,,,,,,,,,0.007249323,9.154864E-06,0.08764161,,,12.20703,2.29376,10,0,7.249243E-05,7.249234E-05,1.108869E-07,,,,,,30000,-36.65397,-60.53918,419806592,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded drive compliance limit.,3879613114.85318,1.99985957145691,83227.6953125,289.48,0.307,,,,,,,,,,,,,,,,,,,,,0.007179231,1.092863E-05,0.08735586,,,12.20703,2.29376,10,0,7.179151E-05,7.179143E-05,1.094567E-07,,,,,,30000,-36.40631,-60.44226,419806592,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Output voltage exceeded drive compliance limit.,3879613117.94568,2.00000357627869,82588.1796875,289.48,0.307,,,,,,,,,,,,,,,,,,,,,0.007097634,1.293477E-05,0.08775225,,,12.20703,2.29376,10,0,7.097555E-05,7.097547E-05,1.087037E-07,,,,,,30000,-36.08938,-59.88255,419806592,0,1,6,1,,,,,,,,,,,,,,,,
