Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3877127541.71253,180.001647949219,-84506.8984375,160,6.379,0.001592818,3.55307E-06,-1.423993,,,3.051758,2.29376,10,0,1.593297E-05,1.592805E-05,-3.959473E-07,,,,,,90000,-38.12083,-66.10336,,,,,,,,,,,,,,,,,,,,,124631936,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3877127546.52161,180.000640869141,-83548.203125,160,6.379,0.001567183,3.328178E-06,-1.455843,,,3.051758,2.29376,10,0,1.567677E-05,1.567171E-05,-3.982922E-07,,,,,,90000,-38.1723,-65.60274,,,,,,,,,,,,,,,,,,,,,124631936,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3877127550.0292,180.001403808594,-82849.1328125,160,6.379,0.001554875,3.925777E-06,-1.471682,,,3.051758,2.29376,10,0,1.555376E-05,1.554863E-05,-3.994652E-07,,,,,,90000,-38.22252,-66.17986,,,,,,,,,,,,,,,,,,,,,124631936,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3877127554.74726,180.000518798828,-81890.359375,160,6.38,0.001530057,3.567917E-06,-1.495663,,,3.051758,2.29376,10,0,1.530567E-05,1.530045E-05,-3.994976E-07,,,,,,90000,-38.30339,-68.08031,,,,,,,,,,,,,,,,,,,,,124631936,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3877127559.66181,180.00080871582,-80910.9453125,160,6.38,0.001505463,3.62214E-06,-1.5296,,,3.051758,2.29376,10,0,1.505987E-05,1.505451E-05,-4.01999E-07,,,,,,90000,-38.30581,-68.26405,,,,,,,,,,,,,,,,,,,,,124631936,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3877127564.43971,180.001113891602,-79952.1015625,160,6.38,0.001468534,3.616049E-06,-1.578386,,,3.051758,2.29376,10,0,1.46908E-05,1.468523E-05,-4.046514E-07,,,,,,90000,-38.46721,-67.79742,,,,,,,,,,,,,,,,,,,,,124631936,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3877127569.15283,179.999923706055,-79013.46875,160,6.38,0.001444131,3.623694E-06,-1.609806,,,3.051758,2.29376,10,0,1.444689E-05,1.444119E-05,-4.058525E-07,,,,,,90000,-38.46444,-66.3612,,,,,,,,,,,,,,,,,,,,,124631936,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3877127574.28076,180.000869750977,-78014.140625,160,6.38,0.001419932,3.492535E-06,-1.638189,,,3.051758,2.29376,10,0,1.420501E-05,1.41992E-05,-4.060913E-07,,,,,,90000,-38.4464,-66.91043,,,,,,,,,,,,,,,,,,,,,124631936,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3877127578.82822,179.998672485352,-77095.09375,160,6.38,0.001395745,3.378448E-06,-1.677184,,,3.051758,2.29376,10,0,1.396333E-05,1.395734E-05,-4.086814E-07,,,,,,90000,-38.57311,-66.47804,,,,,,,,,,,,,,,,,,,,,124631936,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3877127583.74065,179.998321533203,-76096.578125,160,6.38,0.001372864,3.400672E-06,-1.708635,,,3.051758,2.29376,10,0,1.373464E-05,1.372853E-05,-4.09524E-07,,,,,,90000,-38.63788,-66.68118,,,,,,,,,,,,,,,,,,,,,124631936,0,1,6,1,,,,,,,,,,,,,,,,
